"chillutah","chillports","gdd","mat.lo","siteslist","year","lat","long","lat.long","cc","lo","mat60","mat30","mat45"
3072,136.42095043126,39.3043604063932,6.41999985650182,16,1990,50.9667,8.5,"50.9667 8.5","1970-1990",112,7.18647524920582,6.84312484704424,5.93869551943372
3012,127.839115131263,111.079230502488,8.84258044751421,17,1971,53.15,8.2,"53.15 8.2","1970-1990",129,4.93467202084902,7.60203108008136,5.60010857047999
2940,132.878218966991,60.3128312070229,7.71274176309065,17,1972,53.15,8.2,"53.15 8.2","1970-1990",122,6.64327854003574,9.44203103895416,4.95782597614047
3012,133.795244273054,32.253235167463,6.17677405548673,17,1973,53.15,8.2,"53.15 8.2","1970-1990",123,5.61803266131243,6.7429685992829,4.8522221137666
3948,151.935012521687,99.0295357257951,9.00419334712769,17,1974,53.15,8.2,"53.15 8.2","1970-1990",115,7.28295065688549,5.95109361698269,8.10054329719961
3276,132.618383749752,104.869316068411,8.86580625344669,17,1975,53.15,8.2,"53.15 8.2","1970-1990",128,5.77786872331358,5.8270311197557,5.49228248593357
2400,112.698173129835,87.0105072936087,8.17951594620583,17,1976,53.15,8.2,"53.15 8.2","1970-1990",128,4.55532776703295,8.44812481116969,3.37866659114758
2916,133.314384270338,74.5102695900398,7.03322564924677,17,1977,53.15,8.2,"53.15 8.2","1970-1990",124,6.22672117229734,5.24390613278956,5.39445640116363
2484,120.524845370106,88.9907475467356,8.03064498179141,17,1978,53.15,8.2,"53.15 8.2","1970-1990",127,6.19483592710839,6.94203109483351,2.36945646877765
2112,103.992964424932,71.6959098484268,7.70419337618495,17,1979,53.15,8.2,"53.15 8.2","1970-1990",133,5.52262282737943,7.79124982585199,4.72999989427626
2328,116.362601369678,70.0238019384628,7.75161272996376,17,1980,53.15,8.2,"53.15 8.2","1970-1990",127,5.66409823405327,5.40499987918884,7.68760852382073
2124,108.699853630945,106.899600103203,8.23870949326984,17,1981,53.15,8.2,"53.15 8.2","1970-1990",130,7.4604916365237,5.02359363771393,8.94260849576929
